pop1,pop2
1993.3576829896333,1980.9296428544924
1994.7783125954832,1991.955430205298
1998.527343077466,2011.9877257538162
1998.5728994452654,2005.2610697316727
2004.4584721865087,1970.1472656036958
2014.9932680324162,1989.3965537506076
1989.4857956958804,2012.0769829016178
2016.0472507612346,2019.294241603788
1993.3762117238002,1953.6279842368006
1997.0110707987815,1995.088476808788
2004.3580134362348,1993.4633642662109
2010.4524615903497,1983.0274473394365
2005.8002531008858,2004.7706624399455
1982.308382389361,1996.5271005023017
1996.354975933343,1993.170866971674
1997.2504825849278,1978.127470520161
1997.3694635174365,1997.2678235402861
1991.8490557288683,2005.9466667296208
2006.6287417290346,1997.685454413877
2007.8117257150504,1997.6173454648338
2013.5262380023962,1975.059288004856
1993.4879841125387,2003.7581986924286
2007.105464433995,1993.3454363339101
1988.0202188630915,2005.446847426156
1992.802962352,2022.7746570460076
1995.4746348572514,2003.0036116261278
2009.7071147461832,2010.962193779556
1993.1456524569003,2011.6875504001314
1994.7848488265402,1997.4981186575278
2001.2865463613477,1999.6857351195874
1971.7578851407357,1979.1520979639513
1985.9345376926733,1974.6806603467712
2009.8006795587448,2022.5465854823553
1989.6266770296302,1999.3419823193099
1987.410465619424,1982.850085609242
2005.6243165926749,1999.795054257597
2000.754098289532,1993.1155634315905
1997.451180600579,2019.883184038592
1998.9605896654386,1982.8003942905234
2006.9904285952912,1988.194277010671
1997.5057332089275,2018.4271837654105
2017.9194573057846,1995.066263151383
1981.0189056130594,1964.7277588426587
2016.5737867109972,2002.6636397305306
2027.1176202957786,2014.9682621807324
2018.0402713146225,2005.0760289832147
2014.3018830969156,2000.8479245967135
1997.2889482263543,1979.3300236435746
1986.4379621811138,1984.5415545940268
1998.6958110856397,2025.5561268382125
2024.2813974789105,1980.8624927978274
1988.4881797369233,1966.5033465549982
1981.3653016725518,1987.468400205581
1990.0154242686456,2028.3091165220076
1999.301717162405,1992.6099746830985
2031.1363280117919,1966.015583762598
2023.504026418295,1972.9713782289764
2000.5732128163552,2000.1287203188579
2004.5853092346351,1995.8822390766306
1994.8648474859654,1980.4007619386098
2025.788730975786,1992.1585975575122
1996.9078864049297,2006.053377986138
1997.2515696373646,2019.2303671478487
1993.4258593981854,2004.309905769432
2009.5856532049445,1968.8379321779087
1999.661642640616,1979.55701714005
1997.4758908528715,1999.5620237911517
1995.0788596166897,1985.949459967599
2009.3704704461313,2012.2342553838703
2007.3107033881595,1974.7303956947192
1990.7884659392598,2016.5147956234948
2001.8118947401954,1996.316260228061
2009.354740549177,1994.6263682667177
2007.7882996012936,1987.679255062901
1996.7201873715665,1995.721207879361
2001.7602580559576,1985.2103254560923
1981.352315052281,1993.8298142403448
1994.0849851413325,1998.0328219987086
2017.0231172086067,1980.3767577663368
1986.913170905084,2014.8192983334172
1990.8415720081666,1991.2899734169323
2001.6456517059714,2022.3435977100928
2020.5891553586218,2006.932938839435
2000.9318817615522,1993.5264832487019
2000.13768474883,2015.7067841851945
2001.519323713701,2011.0284376180764
1986.7067980236698,2005.1475499818923
