AM1,AM2
46.944236844665404,49.054325413650496
53.007038436397806,50.37000915187957
50.73623427214792,59.53139776889995
47.32563735507554,45.64494263602881
55.2207656298277,50.83091190132878
51.48831277704055,56.072232704802225
51.67926138815645,44.470121081381606
50.11100980028394,47.328142028181034
48.54617962952461,59.88751451489901
49.074060064909396,47.60495780490354
51.565010565517404,50.95435485381954
54.04445786091196,53.13511663147436
51.823813352751834,49.86862739770831
49.02512799438457,50.21792118788808
54.425562195542824,56.78925820386334
47.79880638111702,46.86487984150079
49.04941442670065,51.7330253139359
53.60366745581888,55.854190579630234
49.01538448049156,45.86836187501151
54.232263788148444,48.330123027716276
49.154798012576485,59.132997279472114
52.81906972974981,46.274639416877726
51.72258358689463,52.38976498404755
51.20192087492549,62.086189141100114
47.671381068066474,43.91037876493018
50.01556844897491,49.98632467928311
54.31126381686229,59.32514932017324
51.339346809079714,44.40754567398867
50.17518580231428,51.60923662277544
51.89393445045367,57.91409105694343
51.24614990713234,41.58240025624315
49.293468789144256,44.31336430857202
53.18826613753469,59.03053387053103
47.578911674662535,46.06581743475438
51.86341177885354,51.68101346400169
50.8953148770462,62.175048730969586
52.02723823457211,41.81473807270243
49.46387937125166,51.32442093682756
51.43825533817519,60.06476406844161
49.12287937527595,45.030974719289034
52.8945868541023,49.0176972989349
54.890972367442394,58.69968771742344
54.955045304865855,44.160192597705944
51.91137024800854,48.76480062369075
50.73746077159989,59.25373474156912
53.7295297069496,45.8428474170257
51.34351366060814,51.3077788932377
52.92678353252039,58.212049360691815
53.70672913578918,44.23772683832574
49.06761509206676,50.1293431112675
51.556601195862854,56.73868463846248
50.161734801138095,48.496786821551
53.774987657207895,51.71763493037918
52.3849215783799,59.115025671410535
49.03079096554815,48.638971778054184
50.23390572421425,54.64633072782743
51.93819423168334,56.694097985933425
54.99188344211211,46.39738932834938
48.71611454494214,51.69223447002847
54.129674367004434,57.53626683204817
51.605249139934145,46.54327584567034
49.14603316605447,54.21704720089044
48.76395634063963,59.66000911560216
48.06939526278796,44.96046325599247
48.34882329070079,51.679065512543744
56.36449159200055,63.242224569346526
54.74321783786392,44.166898436545395
48.400835758910006,53.17057698766197
49.73413252947618,60.90950554169971
53.787552231105096,43.654285123022696
51.465041315360594,50.62503127557793
47.833133113591714,55.200649459270984
52.87004032501688,45.94760183569336
50.176714476600516,51.171725723622906
54.51909291523343,57.97358057565991
51.02781839043027,43.9301302233986
49.483216745753815,50.372298884147085
52.978173326537885,56.220366259463844
50.430239712236876,43.81256177179058
51.93977374680038,50.95617868212796
52.77794291305586,59.016882887289015
46.894181734499256,45.77858294879506
50.88529268268062,52.598137222272115
50.32345123803238,55.392782457596724
52.37283932446068,47.78987271886427
53.87817079658965,55.46368022016557
49.79358134954519,58.61159500430901
49.555315445515326,46.31085739035412
49.62803831610301,54.80139955116825
49.35641232557901,58.407157546519414
49.0672584429829,43.860044220536366
51.297606017059195,50.44852689181405
51.769812992301716,59.277265183568495
50.587338054665636,39.17578185978746
46.39461398053188,55.68757743374539
53.326919545861024,64.36793200643133
53.556588906014234,42.896179291895386
51.184800925370695,46.33140542154415
51.62953213403208,60.22432685753277
51.97151051634336,45.68355962194256
